Countries,Gross Domestic Product,Unemployment Rate,Income Tax Rate,Inflation,Total Reserves,GINI
Angola,198.8652,0.136317784,18.6,0.040629596,17330953410.0,51.3
Argentina,911.8488,0.108161897,35.0,0.023371039,48846946014.0,41.77777778
Armenia,32.063,0.055636538,24.6,1.066325443,2448545113.0,30.91
Belarus,186.0042,0.30102348,13.0,0.147789075,7248513000.0,25.87
Brazil,3299.273,0.079337374,27.5,0.21978022,365230000000.0,52.58
Chile,466.9744,0.126980902,37.0,0.367511944,39831060001.0,45.1
Colombia,740.6514,0.094318268,36.6,0.237034228,50468937279.0,51.85
Costa Rica,98.4724,0.101669412,27.2,0.927471712,7678633756.0,48.59
El Salvador,52.4044,0.183371841,28.0,0.966370313,3580620681.0,40.56666667
Ethiopia,247.1656,0.195886386,33.5,0.115300357,3220559613.0,35.0
Georgia,2630.0728,0.112291419,31.0,0.384733764,3300741372.0,37.26
Greece,208.133,0.07673537,33.2,0.655737705,8534420687.0,34.93333333
Guatemala,74.8026,0.269876397,29.8,0.172223753,13349692560.0,48.3
Honduras,211.5716,0.182655074,21.0,0.306522805,5434687239.0,50.15555556
Hungary,6427.6686,0.226060222,21.36,0.340413943,31674787113.0,30.36666667
India,5656.7092,0.226572413,30.54,0.236216752,445435000000.0,35.7
Indonesia,2192.4204,0.131891322,32.0,0.083728252,126470000000.0,38.7
Madagascar,32.4408,0.168157665,20.0,0.152877148,1639473670.0,42.6
Mexico,970.87,0.214362272,26.4,0.237079184,182392000000.0,47.44
Moldova,26.5652,0.142519169,13.6,0.210216523,2969534855.0,27.33333333
Mongolia,152.9886,0.148354746,16.0,0.30273674,3355878834.0,32.94
Mozambique,79.8224,0.060227902,34.2,0.116950857,3356273285.0,54.0
Namibia,420.797,0.063631042,39.0,0.218007412,2127241038.0,59.1
Panama,61.6028,0.198846689,31.8,0.561041293,4341743597.0,50.56666667
Paraguay,306.851,0.202864446,18.0,0.338684549,7875213409.0,47.77
Peru,746.7596,0.269019692,32.0,0.402673754,65688852973.0,43.42
Philippines,1084.031,0.248311482,33.2,0.35870579,88156179783.0,44.46666667
Portugal,341.4564,0.196386489,28.8,3.265839321,26093897642.0,34.98888889
Romania,1227.4996,0.201930455,11.8,0.37744395,44141786123.0,35.8
Serbia,204.3976,0.092919532,13.4,0.694058856,13422208475.0,38.1125
Slovenia,214.3042,0.098303285,49.0,0.58404392,978295594.1,25.08888889
South Africa,968.0184,0.03934932,45.0,0.24559163,51921889257.0,63.0
Spain,1523.511,0.072762199,41.2,0.598659004,71818488914.0,35.45555556
Tanzania,172.522,0.459601066,30.0,0.244762091,5096067784.0,39.15
Thailand,1285.3214,1.177578898,35.0,2.760905577,212482000000.0,36.73
Tunisia,136.7618,0.063795039,35.0,0.173949346,7134609282.0,32.8
Turkey,2286.3178,0.083404227,37.0,0.079791903,100919000000.0,41.28888889
Uganda,103.434,0.484449181,38.0,0.245700246,3392408814.0,42.16666667
Ukraine,417.0512,0.108332972,20.0,0.100228521,21924125726.0,25.27
